number,key,status,doi,title,container,year,similarity,url,note
1,vaswani2017attention,url_verified_no_doi,,Attention is all you need,Advances in Neural Information Processing Systems,2017,,https://proceedings.neurips.cc/paper/7181-attention-is-all-you-need,NeurIPS proceedings item; no DOI inserted.
2,lim2021temporal,doi_confirmed,10.1016/j.ijforecast.2021.03.012,Temporal Fusion Transformers for interpretable multi-horizon time series forecasting,International Journal of Forecasting,2021,1.000,https://doi.org/10.1016/j.ijforecast.2021.03.012,
3,zhou2021informer,doi_confirmed,10.1609/aaai.v35i12.17325,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,Proceedings of the AAAI Conference on Artificial Intelligence,2021,1.000,https://doi.org/10.1609/aaai.v35i12.17325,
4,wu2021autoformer,url_verified_no_crossref_doi,,Autoformer: Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting,Advances in Neural Information Processing Systems,2021,,https://arxiv.org/abs/2106.13008,Crossref title search returned false matches; use arXiv/NeurIPS URL rather than an unverified DOI.
5,nie2023patchtst,url_verified_no_doi,,A time series is worth 64 words: Long-term forecasting with Transformers,International Conference on Learning Representations,2023,,https://openreview.net/forum?id=Jbdc0vTOcol,OpenReview ICLR metadata; no DOI inserted.
6,zeng2023transformers,doi_confirmed,10.1609/aaai.v37i9.26317,Are Transformers Effective for Time Series Forecasting?,Proceedings of the AAAI Conference on Artificial Intelligence,2023,1.000,https://doi.org/10.1609/aaai.v37i9.26317,
7,oreshkin2020nbeats,url_verified_no_doi,,N-BEATS: Neural basis expansion analysis for interpretable time series forecasting,International Conference on Learning Representations,2020,,https://openreview.net/forum?id=r1ecqn4YwB,OpenReview ICLR metadata; no DOI inserted.
8,wu2019graphwavenet,doi_confirmed,10.24963/ijcai.2019/264,Graph WaveNet for Deep Spatial-Temporal Graph Modeling,Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence,2019,1.000,https://doi.org/10.24963/ijcai.2019/264,
9,angelopoulos2023conformal,doi_confirmed,10.1561/2200000101,Conformal Prediction: A Gentle Introduction,Foundations and Trends® in Machine Learning,2023,1.000,https://doi.org/10.1561/2200000101,
10,bertsimas2020predictive,doi_confirmed,10.1287/mnsc.2018.3253,From Predictive to Prescriptive Analytics,Management Science,2020,1.000,https://doi.org/10.1287/mnsc.2018.3253,
11,elmachtoub2022smart,doi_confirmed,10.1287/mnsc.2020.3922,"Smart “Predict, then Optimize”",Management Science,2022,1.000,https://doi.org/10.1287/mnsc.2020.3922,
12,amos2017optnet,url_verified_no_doi,,OptNet: Differentiable Optimization as a Layer in Neural Networks,Proceedings of the 34th International Conference on Machine Learning,2017,,https://proceedings.mlr.press/v70/amos17a.html,PMLR metadata; no DOI inserted.
13,donti2017task,url_verified_no_doi,,Task-based End-to-end Model Learning in Stochastic Optimization,Advances in Neural Information Processing Systems,2017,,https://proceedings.neurips.cc/paper/2017/file/3fc2c60b5782f641f76bcefc39fb2392-Paper.pdf,NeurIPS proceedings item; no DOI inserted.
14,hong2014gefcom2012,doi_confirmed,10.1016/j.ijforecast.2013.07.001,Global Energy Forecasting Competition 2012,International Journal of Forecasting,2014,1.000,https://doi.org/10.1016/j.ijforecast.2013.07.001,
15,hong2016probabilistic,doi_confirmed,10.1016/j.ijforecast.2016.02.001,Probabilistic energy forecasting: Global Energy Forecasting Competition 2014 and beyond,International Journal of Forecasting,2016,1.000,https://doi.org/10.1016/j.ijforecast.2016.02.001,
16,lago2018spot,doi_confirmed,10.1016/j.apenergy.2018.02.069,Forecasting spot electricity prices: Deep learning approaches and empirical comparison of traditional algorithms,Applied Energy,2018,1.000,https://doi.org/10.1016/j.apenergy.2018.02.069,
17,lago2021dayahead,doi_confirmed,10.1016/j.apenergy.2021.116983,"Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark",Applied Energy,2021,1.000,https://doi.org/10.1016/j.apenergy.2021.116983,
18,weron2014price,doi_confirmed,10.1016/j.ijforecast.2014.08.008,Electricity price forecasting: A review of the state-of-the-art with a look into the future,International Journal of Forecasting,2014,1.000,https://doi.org/10.1016/j.ijforecast.2014.08.008,
19,uniejewski2019seasonal,doi_confirmed,10.1016/j.eneco.2018.02.007,On the importance of the long-term seasonal component in day-ahead electricity price forecasting,Energy Economics,2019,1.000,https://doi.org/10.1016/j.eneco.2018.02.007,Replaces an unverifiable transfer-learning reference whose title did not match the Energy Economics article number.
20,nowotarski2018probabilistic,doi_confirmed,10.1016/j.rser.2017.05.234,Recent advances in electricity price forecasting: A review of probabilistic forecasting,Renewable and Sustainable Energy Reviews,2018,1.000,https://doi.org/10.1016/j.rser.2017.05.234,
21,bentaieb2017coherent,url_verified_no_doi,,Coherent probabilistic forecasts for hierarchical time series,Proceedings of the 34th International Conference on Machine Learning,2017,,https://proceedings.mlr.press/v70/taieb17a.html,PMLR metadata; no DOI inserted.
22,hyndman2021fpp3,url_verified_no_doi,,Forecasting: Principles and Practice,OTexts,2021,,https://otexts.com/fpp3/,Online book metadata; no DOI inserted.
23,opsd2020timeseries,dataset_url_verified,,"Data Package Time Series, version 2020-10-06",,2020,,https://data.open-power-system-data.org/time_series/2020-10-06/,Dataset landing page and version URL.
24,rouzbahani2021vpp,doi_confirmed,10.1016/j.seta.2021.101370,A review on virtual power plant for energy management,Sustainable Energy Technologies and Assessments,2021,1.000,https://doi.org/10.1016/j.seta.2021.101370,Replaces an unverifiable VPP review entry.
25,nosratabadi2017microgridvpp,doi_confirmed,10.1016/j.rser.2016.09.025,A comprehensive review on microgrid and virtual power plant concepts employed for distributed energy resources scheduling in power systems,Renewable and Sustainable Energy Reviews,2017,1.000,https://doi.org/10.1016/j.rser.2016.09.025,Replaces an unverifiable VPP management review entry.
26,boyd2004convex,doi_confirmed,10.1017/cbo9780511804441,Convex Optimization,,2004,1.000,https://doi.org/10.1017/cbo9780511804441,
27,hong2020energyforecasting,doi_confirmed,10.1109/oajpe.2020.3029979,Energy Forecasting: A Review and Outlook,IEEE Open Access Journal of Power and Energy,2020,1.000,https://doi.org/10.1109/oajpe.2020.3029979,
28,ziel2018highdimensional,doi_confirmed,10.1016/j.eneco.2017.12.016,Day-ahead electricity price forecasting with high-dimensional structures: Univariate vs. multivariate modeling frameworks,Energy Economics,2018,1.000,https://doi.org/10.1016/j.eneco.2017.12.016,
29,gneiting2007proper,doi_confirmed,10.1198/016214506000001437,"Strictly Proper Scoring Rules, Prediction, and Estimation",Journal of the American Statistical Association,2007,1.000,https://doi.org/10.1198/016214506000001437,
30,koenker1978quantiles,doi_confirmed,10.2307/1913643,Regression Quantiles,Econometrica,1978,1.000,https://doi.org/10.2307/1913643,
31,diebold1995comparing,doi_confirmed,10.1080/07350015.1995.10524599,Comparing Predictive Accuracy,Journal of Business & Economic Statistics,1995,1.000,https://doi.org/10.1080/07350015.1995.10524599,
32,wu2020mtgnn,doi_confirmed,10.1145/3394486.3403118,Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2020,1.000,https://doi.org/10.1145/3394486.3403118,
33,yu2018stgcn,doi_confirmed,10.24963/ijcai.2018/505,Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting,Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence,2018,1.000,https://doi.org/10.24963/ijcai.2018/505,
34,benidis2022deepts,doi_confirmed,10.1098/rsta.2020.0209,Time-series forecasting with deep learning: a survey,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",2021,1.000,https://doi.org/10.1098/rsta.2020.0209,
35,torres2021deeplearning,doi_confirmed,10.1089/big.2020.0159,Deep Learning for Time Series Forecasting: A Survey,Big Data,2021,1.000,https://doi.org/10.1089/big.2020.0159,
