dataset,zone,regime,model,spike_threshold,mae,rmse,smape,n,local_rmse,local_mae,rmse_improvement_pct,mae_improvement_pct
OPSD,DE_LU,all,Local ridge,24.38000000000001,3.2166595234854003,5.561837448746384,14.916028603851112,3471,5.561837448746384,3.2166595234854003,0.0,0.0
OPSD,DE_LU,all,Graph-temporal residual,24.38000000000001,3.212179807934608,5.508343043680209,15.170022407887238,3471,5.561837448746384,3.2166595234854003,0.9618117314491528,0.13926607768354407
OPSD,DE_LU,spike,Local ridge,24.38000000000001,7.127301095353007,13.129384977997919,37.7081493421061,251,13.129384977997919,7.127301095353007,0.0,0.0
OPSD,DE_LU,spike,Graph-temporal residual,24.38000000000001,6.9094275848608255,12.678699619243439,39.00215901878552,251,13.129384977997919,7.127301095353007,3.432646384501132,3.056886577083647
OPSD,DE_LU,non_spike,Local ridge,24.38000000000001,2.9118237984733604,4.461862897387577,13.13937571400577,3220,4.461862897387577,2.9118237984733604,0.0,0.0
OPSD,DE_LU,non_spike,Graph-temporal residual,24.38000000000001,2.923978195509614,4.4918294327260035,13.312299957783052,3220,4.461862897387577,2.9118237984733604,-0.6716148843563141,-0.41741526539572393
OPSD,DK_1,all,Local ridge,16.91,3.079688814846483,5.0172018461753085,18.673776546978278,10043,5.0172018461753085,3.079688814846483,0.0,0.0
OPSD,DK_1,all,Graph-temporal residual,16.91,3.0877200726435023,5.000632265046047,18.950580116758083,10043,5.0172018461753085,3.079688814846483,0.33025542199170055,-0.2607814711117016
OPSD,DK_1,spike,Local ridge,16.91,4.667040142368617,7.496485136836957,30.353610887104924,1718,7.496485136836957,4.667040142368617,0.0,0.0
OPSD,DK_1,spike,Graph-temporal residual,16.91,4.6834617314762275,7.459329335470115,30.710971706496238,1718,7.496485136836957,4.667040142368617,0.4956429671855389,-0.3518630353857586
OPSD,DK_1,non_spike,Local ridge,16.91,2.7521128892389126,4.332413068871958,16.263451574445238,8325,4.332413068871958,2.7521128892389126,0.0,0.0
OPSD,DK_1,non_spike,Graph-temporal residual,16.91,2.7584126648507548,4.3225262837608955,16.523630837338246,8325,4.332413068871958,2.7521128892389126,0.2282050430993754,-0.22890687502227866
OPSD,DK_2,all,Local ridge,16.880000000000003,3.0940820150099717,5.167137072387582,15.234689966219072,10043,5.167137072387582,3.0940820150099717,0.0,0.0
OPSD,DK_2,all,Graph-temporal residual,16.880000000000003,3.080659938952172,5.14249250342333,15.1391859109026,10043,5.167137072387582,3.0940820150099717,0.47694823301568867,0.43379832831472714
OPSD,DK_2,spike,Local ridge,16.880000000000003,4.9590709860319135,7.707696072248041,24.614499229160515,1712,7.707696072248041,4.9590709860319135,0.0,0.0
OPSD,DK_2,spike,Graph-temporal residual,16.880000000000003,4.8766405342625205,7.661517022733375,24.074451766222353,1712,7.707696072248041,4.9590709860319135,0.5991290922969281,1.6622156045269916
OPSD,DK_2,non_spike,Local ridge,16.880000000000003,2.7108313706227958,4.46963425416827,13.307162243478016,8331,4.46963425416827,2.7108313706227958,0.0,0.0
OPSD,DK_2,non_spike,Graph-temporal residual,16.880000000000003,2.7115903459655772,4.4516503511421535,13.303010764544728,8331,4.46963425416827,2.7108313706227958,0.40235737430517604,-0.02799788105621248
OPSD,GB_GBN,all,Local ridge,17.08,3.31831450164859,4.873086948293279,12.696301038864007,10016,4.873086948293279,3.31831450164859,0.0,0.0
OPSD,GB_GBN,all,Graph-temporal residual,17.08,3.4600143522793005,4.93805093039553,13.096757536991968,10016,4.873086948293279,3.31831450164859,-1.3331176478392885,-4.270235704310476
OPSD,GB_GBN,spike,Local ridge,17.08,7.585819525299678,10.007779850733305,40.0902392630859,767,10.007779850733305,7.585819525299678,0.0,0.0
OPSD,GB_GBN,spike,Graph-temporal residual,17.08,7.414919789621026,9.871784711827765,39.22937543917736,767,10.007779850733305,7.585819525299678,1.3588941896596163,2.2528842811074017
OPSD,GB_GBN,non_spike,Local ridge,17.08,2.964419339669957,4.172597051304778,10.424579704884316,9249,4.172597051304778,2.964419339669957,0.0,0.0
OPSD,GB_GBN,non_spike,Graph-temporal residual,17.08,3.1320424125624555,4.2807697986489215,10.929634828485515,9249,4.172597051304778,2.964419339669957,-2.592456113401073,-5.654499370226104
