dataset,zone,regime,model,lookback_hours,trend_window_hours,spike_threshold,mae,rmse,smape,n
OPSD,DE_LU,all,DLinear-style sequence ridge,168,24,24.38000000000001,2.5056437919401855,4.971983821340332,12.21222915119303,3471
OPSD,DE_LU,all,NLinear-style sequence ridge,168,24,24.38000000000001,2.503986194583491,4.972073316974527,12.29616750482969,3471
OPSD,DE_LU,spike,DLinear-style sequence ridge,168,24,24.38000000000001,6.508530461506073,13.156008000889923,35.3625792771397,251
OPSD,DE_LU,spike,NLinear-style sequence ridge,168,24,24.38000000000001,6.504758233907942,13.170563304425068,35.60905772703586,251
OPSD,DE_LU,non_spike,DLinear-style sequence ridge,168,24,24.38000000000001,2.193617532915018,3.6271091817237133,10.407652169325758,3220
OPSD,DE_LU,non_spike,NLinear-style sequence ridge,168,24,24.38000000000001,2.1921247716423613,3.623121646014672,10.478920471980699,3220
OPSD,DK_1,all,DLinear-style sequence ridge,168,24,16.91,2.532079160711223,4.299609062785579,17.17260991639859,10044
OPSD,DK_1,all,NLinear-style sequence ridge,168,24,16.91,2.5303462005372457,4.3000129816196715,17.19029808367118,10044
OPSD,DK_1,spike,DLinear-style sequence ridge,168,24,16.91,3.908376574802064,6.666743857971807,27.379955570740876,1720
OPSD,DK_1,spike,NLinear-style sequence ridge,168,24,16.91,3.9055296592149316,6.670181361068414,27.468624847979882,1720
OPSD,DK_1,non_spike,DLinear-style sequence ridge,168,24,16.91,2.2476928617880794,3.622530448389899,15.06345151593382,8324
OPSD,DK_1,non_spike,NLinear-style sequence ridge,168,24,16.91,2.2461900798109578,3.621801344132372,15.06647275514992,8324
OPSD,DK_2,all,DLinear-style sequence ridge,168,24,16.880000000000003,2.5814808049243068,4.484878562336787,13.59612216573613,10044
OPSD,DK_2,all,NLinear-style sequence ridge,168,24,16.880000000000003,2.5792744349311536,4.484940361495515,13.615474023647467,10044
OPSD,DK_2,spike,DLinear-style sequence ridge,168,24,16.880000000000003,4.248673187962131,6.952096207681575,21.820621236644307,1714
OPSD,DK_2,spike,NLinear-style sequence ridge,168,24,16.880000000000003,4.2447492693487305,6.95192913560521,21.830932579016917,1714
OPSD,DK_2,non_spike,DLinear-style sequence ridge,168,24,16.880000000000003,2.238435457442094,3.782596549068822,11.903830280077472,8330
OPSD,DK_2,non_spike,NLinear-style sequence ridge,168,24,16.880000000000003,2.236582494211859,3.782748077854209,11.925042335303742,8330
OPSD,GB_GBN,all,DLinear-style sequence ridge,168,24,17.08,3.0072232846371563,4.404829340069955,11.811038220191605,10024
OPSD,GB_GBN,all,NLinear-style sequence ridge,168,24,17.08,3.003509039403749,4.391306878836254,11.76659418279024,10024
OPSD,GB_GBN,spike,DLinear-style sequence ridge,168,24,17.08,6.16158817812285,8.678318324026463,34.516579116659315,767
OPSD,GB_GBN,spike,NLinear-style sequence ridge,168,24,17.08,6.1351735331667685,8.607898913067729,34.25990816918512,767
OPSD,GB_GBN,non_spike,DLinear-style sequence ridge,168,24,17.08,2.7458645427873636,3.8431723186010527,9.929742998457701,9257
OPSD,GB_GBN,non_spike,NLinear-style sequence ridge,168,24,17.08,2.744031166797479,3.8395354331199165,9.902883279952942,9257
