number,key,status,doi,url,expected_title,resolved_title,title_match,note
1,vaswani2017attention,url_verified_no_doi,,https://proceedings.neurips.cc/paper/7181-attention-is-all-you-need,Attention Is All You Need,,,NeurIPS proceedings item; no DOI inserted.
2,lim2021temporal,doi_verified,10.1016/j.ijforecast.2021.03.012,https://doi.org/10.1016/j.ijforecast.2021.03.012,Temporal fusion transformers for interpretable multi-horizon time series forecasting,Temporal Fusion Transformers for interpretable multi-horizon time series forecasting,yes,
3,zhou2021informer,doi_verified,10.1609/aaai.v35i12.17325,https://doi.org/10.1609/aaai.v35i12.17325,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,yes,
4,wu2021autoformer,url_verified_no_doi,,https://arxiv.org/abs/2106.13008,Autoformer: Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting,,,arXiv/NeurIPS metadata; no DOI inserted.
5,nie2023patchtst,url_verified_no_doi,,https://openreview.net/forum?id=Jbdc0vTOcol,A Time Series Is Worth 64 Words: Long-Term Forecasting with Transformers,,,OpenReview ICLR metadata; no DOI inserted.
6,zeng2023dlinear,doi_verified,10.1609/aaai.v37i9.26317,https://doi.org/10.1609/aaai.v37i9.26317,Are Transformers Effective for Time Series Forecasting?,Are Transformers Effective for Time Series Forecasting?,yes,
7,oreshkin2020nbeats,url_verified_no_doi,,https://openreview.net/forum?id=r1ecqn4YwB,N-BEATS: Neural Basis Expansion Analysis for Interpretable Time Series Forecasting,,,OpenReview ICLR metadata; no DOI inserted.
8,bai2018tcn,url_verified_no_doi,,https://arxiv.org/abs/1803.01271,An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,,,arXiv metadata; no DOI inserted.
9,dempster2020rocket,doi_verified,10.1007/s10618-020-00701-z,https://doi.org/10.1007/s10618-020-00701-z,ROCKET: exceptionally fast and accurate time series classification using random convolutional kernels,ROCKET: exceptionally fast and accurate time series classification using random convolutional kernels,yes,
10,dempster2021minirocket,doi_verified,10.1145/3447548.3467231,https://doi.org/10.1145/3447548.3467231,MINIROCKET: A Very Fast (Almost) Deterministic Transform for Time Series Classification,MiniRocket,yes,
11,yue2022ts2vec,doi_verified,10.1609/aaai.v36i8.20881,https://doi.org/10.1609/aaai.v36i8.20881,TS2Vec: Towards Universal Representation of Time Series,TS2Vec: Towards Universal Representation of Time Series,yes,
12,pan2010transfer,doi_verified,10.1109/TKDE.2009.191,https://doi.org/10.1109/TKDE.2009.191,A Survey on Transfer Learning,A Survey on Transfer Learning,yes,
13,ganin2016domain,url_verified_no_doi,,https://jmlr.org/papers/v17/15-239.html,Domain-Adversarial Training of Neural Networks,,,JMLR metadata; no DOI inserted.
14,hong2014gefcom2012,doi_verified,10.1016/j.ijforecast.2013.07.001,https://doi.org/10.1016/j.ijforecast.2013.07.001,Global Energy Forecasting Competition 2012,Global Energy Forecasting Competition 2012,yes,
15,hong2016probabilistic,doi_verified,10.1016/j.ijforecast.2016.02.001,https://doi.org/10.1016/j.ijforecast.2016.02.001,Probabilistic energy forecasting: Global Energy Forecasting Competition 2014 and beyond,Probabilistic energy forecasting: Global Energy Forecasting Competition 2014 and beyond,yes,
16,hyndman2021fpp3,url_verified_no_doi,,https://otexts.com/fpp3/,Forecasting: Principles and Practice,,,Online book metadata; no DOI inserted.
17,uci2015electricity,url_verified_no_doi,,https://archive.ics.uci.edu/dataset/321/electricityloaddiagrams20112014,ElectricityLoadDiagrams20112014,,,Public benchmark data source used for the multi-client transfer experiment.
18,opsd2020timeseries,url_verified_no_doi,,https://data.open-power-system-data.org/time_series/2020-10-06/,Time series data package,,,"Public hourly load, price, wind, and solar time series used for the OPSD benchmark."
19,lago2021benchmark,doi_verified,10.1016/j.apenergy.2021.116983,https://doi.org/10.1016/j.apenergy.2021.116983,"Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark","Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark",yes,
20,angelopoulos2023conformal,doi_verified,10.1561/2200000101,https://doi.org/10.1561/2200000101,Conformal Prediction: A Gentle Introduction,Conformal Prediction: A Gentle Introduction,yes,
21,uci2017appliances,url_verified_no_doi,,https://archive.ics.uci.edu/dataset/374/appliances+energy+prediction,Appliances Energy Prediction,,,Public residential appliance-energy benchmark used as an external one-hour-ahead load forecasting sanity check.
22,benidis2022deep,doi_verified,10.1145/3533382,https://doi.org/10.1145/3533382,Deep Learning for Time Series Forecasting: Tutorial and Literature Survey,Deep Learning for Time Series Forecasting: Tutorial and Literature Survey,yes,
23,hong2020energyforecasting,doi_verified,10.1109/OAJPE.2020.3029979,https://doi.org/10.1109/OAJPE.2020.3029979,Energy Forecasting: A Review and Outlook,Energy Forecasting: A Review and Outlook,yes,
24,wang2019multiscale,doi_verified,10.1016/j.energy.2019.03.080,https://doi.org/10.1016/j.energy.2019.03.080,Deep learning for multi-scale smart energy forecasting,Deep learning for multi-scale smart energy forecasting,yes,
25,long2019dan,doi_verified,10.1109/TPAMI.2018.2868685,https://doi.org/10.1109/TPAMI.2018.2868685,Transferable Representation Learning with Deep Adaptation Networks,Transferable Representation Learning with Deep Adaptation Networks,yes,
26,liu2022scinet,doi_verified,10.52202/068431-0421,https://doi.org/10.52202/068431-0421,SCINet: Time Series Modeling and Forecasting with Sample Convolution and Interaction,SCINet: Time Series Modeling and Forecasting with Sample Convolution and Interaction,yes,
27,salinas2020deepar,doi_verified,10.1016/j.ijforecast.2019.07.001,https://doi.org/10.1016/j.ijforecast.2019.07.001,DeepAR: Probabilistic forecasting with autoregressive recurrent networks,DeepAR: Probabilistic forecasting with autoregressive recurrent networks,yes,
28,torres2021survey,doi_verified,10.1089/big.2020.0159,https://doi.org/10.1089/big.2020.0159,Deep Learning for Time Series Forecasting: A Survey,Deep Learning for Time Series Forecasting: A Survey,yes,
29,hewamalage2021rnn,doi_verified,10.1016/j.ijforecast.2020.06.008,https://doi.org/10.1016/j.ijforecast.2020.06.008,Recurrent Neural Networks for Time Series Forecasting: Current status and future directions,Recurrent Neural Networks for Time Series Forecasting: Current status and future directions,yes,
30,petropoulos2022forecasting,doi_verified,10.1016/j.ijforecast.2021.11.001,https://doi.org/10.1016/j.ijforecast.2021.11.001,Forecasting: theory and practice,Forecasting: theory and practice,yes,
