epoch,train_residual_rmse,val_residual_rmse,selected_residual_shrinkage,selected_val_rmse,base_val_rmse,source_train_windows,source_validation_windows
1,0.22476421296596527,0.22989992797374725,0.25,0.08432404068199736,0.08475454285234915,61600,8400
2,0.17325982451438904,0.17821665108203888,0.25,0.08432404068199736,0.08475454285234915,61600,8400
3,0.15546749532222748,0.16009420156478882,0.25,0.08432404068199736,0.08475454285234915,61600,8400
4,0.13478951156139374,0.1384444683790207,0.25,0.08432404068199736,0.08475454285234915,61600,8400
5,0.12895607948303223,0.132918119430542,0.25,0.08432404068199736,0.08475454285234915,61600,8400
6,0.12327730655670166,0.1270039677619934,0.25,0.08432404068199736,0.08475454285234915,61600,8400
7,0.12234005331993103,0.12708796560764313,0.25,0.08432404068199736,0.08475454285234915,61600,8400
8,0.11510324478149414,0.11972121149301529,0.25,0.08432404068199736,0.08475454285234915,61600,8400
9,0.11042249947786331,0.11534720659255981,0.25,0.08432404068199736,0.08475454285234915,61600,8400
10,0.11447694897651672,0.11979963630437851,0.25,0.08432404068199736,0.08475454285234915,61600,8400
11,0.10523126274347305,0.11082791537046432,0.25,0.08432404068199736,0.08475454285234915,61600,8400
12,0.10131128132343292,0.10772815346717834,0.25,0.08432404068199736,0.08475454285234915,61600,8400
13,0.10316477715969086,0.10928264260292053,0.25,0.08432404068199736,0.08475454285234915,61600,8400
14,0.09923194348812103,0.10568808019161224,0.25,0.08432404068199736,0.08475454285234915,61600,8400
15,0.09625104814767838,0.10323628038167953,0.25,0.08432404068199736,0.08475454285234915,61600,8400
16,0.0939677432179451,0.10116736590862274,0.25,0.08432404068199736,0.08475454285234915,61600,8400
17,0.09738361090421677,0.10427147150039673,0.25,0.08432404068199736,0.08475454285234915,61600,8400
18,0.10121912509202957,0.10825064033269882,0.25,0.08432404068199736,0.08475454285234915,61600,8400
19,0.09314152598381042,0.10014625638723373,0.25,0.08432404068199736,0.08475454285234915,61600,8400
20,0.08738601952791214,0.09488582611083984,0.25,0.08432404068199736,0.08475454285234915,61600,8400
21,0.08998764306306839,0.0965496078133583,0.25,0.08432404068199736,0.08475454285234915,61600,8400
22,0.1021934300661087,0.10846440494060516,0.25,0.08432404068199736,0.08475454285234915,61600,8400
23,0.10271565616130829,0.10928239673376083,0.25,0.08432404068199736,0.08475454285234915,61600,8400
24,0.09602939337491989,0.10301346331834793,0.25,0.08432404068199736,0.08475454285234915,61600,8400
25,0.08911538124084473,0.0961090475320816,0.25,0.08432404068199736,0.08475454285234915,61600,8400
26,0.10628592222929001,0.11256394535303116,0.25,0.08432404068199736,0.08475454285234915,61600,8400
27,0.09162408858537674,0.09840618818998337,0.25,0.08432404068199736,0.08475454285234915,61600,8400
28,0.0894075334072113,0.09635014832019806,0.25,0.08432404068199736,0.08475454285234915,61600,8400
29,0.08538614958524704,0.09266338497400284,0.25,0.08432404068199736,0.08475454285234915,61600,8400
30,0.08556278795003891,0.09270168840885162,0.25,0.08432404068199736,0.08475454285234915,61600,8400
31,0.0837562307715416,0.09061170369386673,0.25,0.08432404068199736,0.08475454285234915,61600,8400
32,0.08617442846298218,0.09319935739040375,0.25,0.08432404068199736,0.08475454285234915,61600,8400
33,0.10264100134372711,0.11027870327234268,0.25,0.08432404068199736,0.08475454285234915,61600,8400
34,0.08516167104244232,0.09273281693458557,0.25,0.08432404068199736,0.08475454285234915,61600,8400
35,0.08841220289468765,0.09507769346237183,0.25,0.08432404068199736,0.08475454285234915,61600,8400
36,0.08878201991319656,0.0954020768404007,0.25,0.08432404068199736,0.08475454285234915,61600,8400
