seed_index,zone,test_days,mean_revenue,cvar_10,negative_revenue_days,selection_score,selection_mean_revenue,selection_cvar_10,best_generation
0,DE_LU,140,23.12873447974147,-1.2036014675207733,7,23.347417017042027,23.578200171417954,-0.4615663087518582,13
0,DK_1,413,15.695401561607264,-10.007302506911504,65,4.682468975999661,9.310919737342887,-9.256901522686453,13
0,DK_2,413,20.762071335438666,-2.5120933120511353,36,14.929168621347046,17.11123518176409,-4.364133120834091,12
0,GB_GBN,412,26.85888648133155,7.579986616296507,3,38.920841739510486,33.077235615916315,11.687212247188338,11
1,DE_LU,140,23.0984020322815,-1.2036014675207733,7,23.340049769379757,23.569435276751587,-0.4587710147436601,11
1,DK_1,413,15.24467331427678,-9.866891253751334,66,4.5301862617924575,9.237582189536113,-9.41479185548731,2
1,DK_2,413,20.799607029148454,-2.199473622219197,33,14.900508205779593,17.103152401319086,-4.405288391078987,2
1,GB_GBN,412,26.885948516231966,7.63355514128429,3,38.93124599331822,33.061294467188176,11.739903052260086,11
2,DE_LU,140,22.640896551996182,-2.6340051159593476,9,23.31109337308678,23.591289981143692,-0.5603932161138231,7
2,DK_1,413,15.638807892549659,-9.38300659473031,64,4.649090679918646,9.272828750002697,-9.247476140168102,13
2,DK_2,413,20.834357714570103,-2.442357437668284,35,14.921016321131667,17.120521597485745,-4.3990105527081536,9
2,GB_GBN,412,26.879169716601087,7.901352742850451,3,38.93986456279661,33.036910335185524,11.805908455222164,9
3,DE_LU,140,22.653401664780084,-2.5193847673996648,8,23.306538219224745,23.571046304982527,-0.5290161715155671,10
3,DK_1,413,15.307882182273039,-9.65300181389877,66,4.533830690425286,9.249235803153624,-9.430810225456677,11
3,DK_2,413,20.885457451206456,-2.575241103385142,36,14.939107237556364,17.116878315995244,-4.35554215687776,13
3,GB_GBN,412,26.85150478449353,7.735806102627534,3,38.92550765690417,33.056981869307556,11.737051575193231,5
4,DE_LU,140,22.69750580098306,-2.6340051159593476,9,23.295030058649782,23.559207979728626,-0.5283558421576869,7
4,DK_1,413,15.462529294093816,-9.573597405109474,68,4.585786079009616,9.232724051595854,-9.293875945172475,12
4,DK_2,413,21.053004144857383,-2.286277026804038,35,14.955240336909117,17.104775995469417,-4.2990713171206,11
4,GB_GBN,412,26.901135038921762,7.768777987680032,3,38.91241733279671,33.02245680534762,11.779921054898166,10
5,DE_LU,140,22.918610304522893,-0.12884221369915982,6,23.315197004639842,23.568010651719103,-0.5056272941585244,9
5,DK_1,413,15.310939968751878,-9.877705306393082,67,4.574070920208976,9.236255754926827,-9.3243696694357,11
5,DK_2,413,20.928739367045434,-2.5619577878804143,36,14.929874861853673,17.110138796149688,-4.360527868592028,8
5,GB_GBN,412,26.834426821625623,7.500652753107211,3,38.88738086422629,33.04625826702259,11.682245194407406,12
6,DE_LU,140,23.03809136418576,-1.7619040749169141,7,23.33963958719062,23.559978193992663,-0.44067721360408346,10
6,DK_1,413,15.660885716767607,-9.579964131218553,65,4.623544387425953,9.294085400832852,-9.341082026813798,12
6,DK_2,413,20.907709306851036,-2.5026477537224188,35,14.936119892214649,17.109570362611546,-4.346900940793795,6
6,GB_GBN,412,26.914997715440382,7.638919197055489,3,38.92973423051589,33.07224893147675,11.714970598078281,12
7,DE_LU,140,22.910052037612466,-1.232887538844327,7,23.293472423405746,23.56406684529935,-0.5411888437872076,12
7,DK_1,413,15.851028148686314,-9.274194977320475,66,4.665934891460572,9.331877036566082,-9.33188429021102,11
7,DK_2,413,20.935325429033828,-2.5785579033260158,36,14.932091900923023,17.110417416414247,-4.356651030982446,10
7,GB_GBN,412,26.895421596529538,7.47316278775637,3,38.88386292225289,33.03226843254496,11.70318897941585,11
