seed_index,zone,charge_std_coef,discharge_std_coef,charge_net_coef,discharge_net_coef,best_generation
0,DE_LU,0.28494560368802024,-0.1533384011188041,3.1862349648144064,-0.2298170752744041,13
0,DK_1,0.5291758701482563,0.35724261983949085,0.9441837655590603,-0.7641032777686557,13
0,DK_2,0.2606994798523717,0.06995554777068894,4.454865498365631,0.4101424224808886,12
0,GB_GBN,0.06828083782395272,-0.12436418123770898,0.40810067997289134,1.2833890114054856,11
1,DE_LU,0.2902700233576656,-0.16364756879493986,3.417957110131306,0.09770191482453272,11
1,DK_1,0.11022168207451898,0.2845242258266727,4.074563247115693,-0.259474948761762,2
1,DK_2,0.08701333497395536,-0.015237163944792596,3.4738749057425653,2.593154841115152,2
1,GB_GBN,0.179063604857614,-0.17447622520649814,0.4049769423245315,1.1557530285956266,11
2,DE_LU,0.33259259625108967,-0.08976135558284615,5.54738481336188,4.552668828163615,7
2,DK_1,0.5301574530820683,0.4698473658512298,1.3369832454658517,-0.5983180420169034,13
2,DK_2,0.26567490893635404,-0.06084330692506834,3.0938692884858865,0.7969515557897855,9
2,GB_GBN,0.06720152372914714,-0.21124273012721295,0.0445584960249321,0.9882162524634834,9
3,DE_LU,0.3305295196420927,-0.0865731571103091,5.555874888273705,2.4856013369507135,10
3,DK_1,0.13753933704931506,0.3632619174485983,3.1704696966619563,-0.3442516282417307,11
3,DK_2,0.07942264554047115,0.12667907812843546,6.459855287907854,1.8157467224667023,13
3,GB_GBN,-0.09313545205286711,-0.19620257020894777,0.5678325505716972,1.0922176733253512,5
4,DE_LU,0.32193542061174407,-0.17908612482560493,5.667307592702057,0.3819194682781578,7
4,DK_1,0.287325040911251,0.4166783620693757,3.040868920207247,-0.7534506878092124,12
4,DK_2,0.3464053047429389,0.07005586237191536,0.21117040381499097,0.5981511213710304,11
4,GB_GBN,0.529320864106311,-0.21137199289294117,0.42728331268408626,1.1454770285006362,10
5,DE_LU,0.2639434626100948,-0.10118854559190466,2.1032275237275804,2.5423816544057347,9
5,DK_1,0.29815686793818075,0.3606062267926612,3.7900005708992532,-0.7407479486179676,11
5,DK_2,0.2146916219855306,0.10945480581735742,2.2960989542115993,1.8248641865790058,8
5,GB_GBN,0.18165401557324407,-0.20808847311844614,0.9348550560289169,1.1312092420897126,12
6,DE_LU,0.29028814002789227,-0.25038341914887996,3.692871502326646,-0.92610762073107,10
6,DK_1,0.3716276509536237,0.37205119843411455,0.9872263246864079,-0.39238286877481127,12
6,DK_2,0.2926340769015754,0.13469189498646272,4.133218123240643,1.9898639917994372,6
6,GB_GBN,-0.06179869312726724,-0.1072688536125965,0.19724395674386463,1.800333544344944,12
7,DE_LU,0.2819682934932073,-0.09730015576827275,3.250447583453165,4.261734426591026,12
7,DK_1,0.5354627257182472,0.30043499008789065,-0.16346105402513134,-0.3519801394522114,11
7,DK_2,0.2301655557670414,0.10993234037404283,4.542530888522885,1.9011916013233972,10
7,GB_GBN,0.031859066790902085,-0.25370837357341375,1.449751708837487,1.0780504050086677,11
