method,penalty_rate,transaction_cost,mean_revenue,mean_regret,cvar_10,negative_revenue_days,mean_imbalance_penalty,mean_transaction_penalty
DF policy search (revenue),20.0,0.0,23.522806658015156,9.947107608018984,0.642234396949833,69,1.5074285633571547,0.0
DF policy search (revenue),20.0,1.0,20.322806658015153,9.947107608018984,-2.557765603050167,125,1.5074285633571547,3.1999999999999997
DF policy search (revenue),20.0,3.0,13.922806658015151,9.947107608018984,-8.957765603050168,276,1.5074285633571547,9.599999999999998
DF policy search (revenue),45.0,0.0,21.638520953818713,11.831393312215427,-1.8528591943225292,115,3.391714267553598,0.0
DF policy search (revenue),45.0,1.0,18.43852095381871,11.831393312215425,-5.052859194322531,161,3.391714267553598,3.1999999999999997
DF policy search (revenue),45.0,3.0,12.038520953818708,11.831393312215427,-11.452859194322533,325,3.391714267553598,9.599999999999998
DF policy search (revenue),70.0,0.0,19.754235249622266,13.71567901641187,-4.524820210263551,154,5.275999971750041,0.0
DF policy search (revenue),70.0,1.0,16.554235249622266,13.715679016411869,-7.724820210263551,215,5.275999971750041,3.1999999999999997
DF policy search (revenue),70.0,3.0,10.154235249622264,13.71567901641187,-14.124820210263554,386,5.275999971750041,9.599999999999998
DF policy search (risk-adjusted),20.0,0.0,23.377535132591497,10.092379133442643,1.1495682646338392,59,1.512210192215309,0.0
DF policy search (risk-adjusted),20.0,1.0,20.177535132591494,10.092379133442643,-2.050431735366161,120,1.512210192215309,3.1999999999999997
DF policy search (risk-adjusted),20.0,3.0,13.777535132591494,10.092379133442643,-8.450431735366163,266,1.512210192215309,9.599999999999998
DF policy search (risk-adjusted),45.0,0.0,21.48727239232236,11.982641873711778,-1.275977379091647,110,3.402472932484445,0.0
DF policy search (risk-adjusted),45.0,1.0,18.287272392322357,11.982641873711778,-4.475977379091648,164,3.402472932484445,3.1999999999999997
DF policy search (risk-adjusted),45.0,3.0,11.887272392322357,11.98264187371178,-10.87597737909165,327,3.402472932484445,9.599999999999998
DF policy search (risk-adjusted),70.0,0.0,19.597009652053224,13.872904613980914,-3.888383412141094,153,5.292735672753582,0.0
DF policy search (risk-adjusted),70.0,1.0,16.39700965205322,13.872904613980914,-7.088383412141093,213,5.292735672753582,3.1999999999999997
DF policy search (risk-adjusted),70.0,3.0,9.997009652053219,13.872904613980914,-13.488383412141095,388,5.292735672753582,9.599999999999998
Robust quantile FTO,20.0,0.0,22.958279128253306,10.511635137780832,1.670729478193472,62,1.4644354751975455,0.0
Robust quantile FTO,20.0,1.0,19.758279128253303,10.511635137780832,-1.5292705218065281,109,1.4644354751975455,3.1999999999999997
Robust quantile FTO,20.0,3.0,13.358279128253304,10.511635137780832,-7.929270521806529,251,1.4644354751975455,9.599999999999998
Robust quantile FTO,45.0,0.0,21.127734784256372,12.342179481777762,-0.5845049434594567,97,3.2949798191944777,0.0
Robust quantile FTO,45.0,1.0,17.927734784256373,12.342179481777762,-3.7845049434594573,151,3.2949798191944777,3.1999999999999997
Robust quantile FTO,45.0,3.0,11.52773478425637,12.342179481777762,-10.184504943459459,303,3.2949798191944777,9.599999999999998
Robust quantile FTO,70.0,0.0,19.297190440259442,14.172723825774696,-2.9580527793281046,141,5.125524163191409,0.0
Robust quantile FTO,70.0,1.0,16.09719044025944,14.172723825774696,-6.158052779328104,204,5.125524163191409,3.1999999999999997
Robust quantile FTO,70.0,3.0,9.69719044025944,14.172723825774698,-12.558052779328104,365,5.125524163191409,9.599999999999998
Rolling-28d mean FTO,20.0,0.0,23.29339301406921,10.17652125196493,0.998091445143674,65,1.529807038077316,0.0
Rolling-28d mean FTO,20.0,1.0,20.093393014069207,10.17652125196493,-2.2019085548563266,123,1.529807038077316,3.1999999999999997
Rolling-28d mean FTO,20.0,3.0,13.693393014069207,10.17652125196493,-8.601908554856328,265,1.529807038077316,9.599999999999998
Rolling-28d mean FTO,45.0,0.0,21.38113421647256,12.088780049561574,-1.5002792282935462,110,3.4420658356739615,0.0
Rolling-28d mean FTO,45.0,1.0,18.18113421647256,12.088780049561574,-4.700279228293548,166,3.4420658356739615,3.1999999999999997
Rolling-28d mean FTO,45.0,3.0,11.781134216472562,12.088780049561574,-11.100279228293548,328,3.4420658356739615,9.599999999999998
Rolling-28d mean FTO,70.0,0.0,19.468875418875918,14.00103884715822,-4.204817253816025,155,5.354324633270607,0.0
Rolling-28d mean FTO,70.0,1.0,16.268875418875915,14.00103884715822,-7.4048172538160255,221,5.354324633270607,3.1999999999999997
Rolling-28d mean FTO,70.0,3.0,9.868875418875916,14.001038847158222,-13.804817253816026,386,5.354324633270607,9.599999999999998
