capacity_mwh,zone,method,days,mean_revenue,mean_regret,median_regret,negative_revenue_days,revenue_p05,cvar_10,mean_battery_revenue,mean_flex_value,mean_imbalance_penalty
0.5,DE_LU,Robust quantile FTO,697,16.68715249971398,8.833884672015794,5.417338125248038,23,1.80880275142028,0.8721042155787999,6.821896712619302,11.703624103299855,1.8383683162051767
0.5,DE_LU,Prev-day FTO,697,14.35652934291544,11.164507828814335,6.7970462105732015,54,-2.2824390955710667,-4.815779499502341,5.80168419312582,10.478638450502151,1.9237933007125334
0.5,DK_1,Robust quantile FTO,2064,8.137189760851923,9.920548451146729,7.7305383487807795,522,-5.411776395066985,-6.138091701802968,4.232499718781599,8.155445494186047,4.250755452115722
0.5,DK_1,Prev-day FTO,2064,5.762107867719572,12.29563034427908,9.007448382258378,684,-8.694931509182405,-10.14003781335099,3.2266219992837897,6.999493459302325,4.464007590866543
0.5,DK_2,Robust quantile FTO,2064,12.582982765909932,7.236123114398462,4.853662705553688,220,-1.5205805038506655,-1.8542387530653948,5.1257184382372785,9.391559593023254,1.9342952653506027
0.5,DK_2,Prev-day FTO,2064,10.994473869279549,8.824632011028845,5.6917294782198775,340,-3.1635655226235393,-4.769450337835455,4.4065985138608035,8.600497819767442,2.0126224643486963
0.5,GB_GBN,Robust quantile FTO,2057,22.353820716771526,6.189862828281424,4.05181635154889,4,9.10533621194703,8.307363511337932,8.605883027202978,14.840014098201264,1.092076408632716
0.5,GB_GBN,Prev-day FTO,2057,21.24286107530966,7.300822469743288,5.183997550793567,31,5.56733161186033,3.9963708780097513,8.1022342351673,14.278341759844434,1.1377149197020717
1.0,DE_LU,Robust quantile FTO,697,22.673427250421838,12.885311368503993,7.917230683741494,30,1.6018977905898257,-0.1625485236360551,13.643793425238604,11.703624103299855,2.6739902781166207
1.0,DE_LU,Prev-day FTO,697,19.28376203571738,16.274976583208456,9.876696533589168,64,-4.439005861016944,-8.407656058463017,11.60336838625164,10.478638450502151,2.7982448010364123
1.0,DK_1,Robust quantile FTO,2064,10.437527910490015,14.420593862344504,11.241341405089141,601,-9.00173873183689,-10.104771630484942,8.464999437563199,8.155445494186047,6.1829170212592315
1.0,DK_1,Prev-day FTO,2064,6.959635507518571,17.898486265315945,13.120519212805169,777,-14.019869423756399,-16.026364237607762,6.453243998567579,6.999493459302325,6.493101950351334
1.0,DK_2,Robust quantile FTO,2064,16.8294760835333,10.491034368943954,7.044744619849364,301,-3.2921286101443403,-3.8786062522329177,10.251436876474557,9.391559593023254,2.813520385964513
1.0,DK_2,Prev-day FTO,2064,14.486243990254584,12.83426646222267,8.26707452609017,429,-6.126655201445927,-8.268860700045195,8.813197027721607,8.600497819767442,2.9274508572344664
1.0,GB_GBN,Robust quantile FTO,2057,30.46330537641418,8.964334927109318,5.865604811739097,6,11.463108848826813,10.328276330340278,17.211766054405956,14.840014098201264,1.5884747761930413
1.0,GB_GBN,Prev-day FTO,2057,28.827952165157832,10.59968813836566,7.513656516569299,40,5.997384691102734,3.9866230319533456,16.2044684703346,14.278341759844434,1.6548580650211953
2.0,DE_LU,Robust quantile FTO,697,34.64597675183755,20.988164761480398,12.924047175694668,33,0.574717432576888,-2.2746888043247377,27.287586850477208,11.703624103299855,4.345234201939508
2.0,DE_LU,Prev-day FTO,697,29.13822742132126,26.495914091996685,16.091807954038906,74,-9.724141801575847,-15.652313013378684,23.20673677250328,10.478638450502151,4.5471478016841695
2.0,DK_1,Robust quantile FTO,2064,15.038204209766192,23.42068468474005,18.27185224469421,681,-16.555037968186067,-18.10808249147185,16.929998875126397,8.155445494186047,10.047240159546252
2.0,DK_1,Prev-day FTO,2064,9.354690787116564,29.10419810738967,21.296850572525777,853,-24.642923070462302,-27.836160550815016,12.906487997135159,6.999493459302325,10.551290669320919
2.0,DK_2,Robust quantile FTO,2064,25.322462718780034,17.000856878034934,11.449402011510134,375,-6.9119423643365,-8.034690064037589,20.502873752949114,9.391559593023254,4.571970627192333
2.0,DK_2,Prev-day FTO,2064,21.469784232204645,20.853535364610323,13.465650154816977,487,-11.927265746872294,-15.320334222422828,17.626394055443214,8.600497819767442,4.757107643006008
2.0,GB_GBN,Robust quantile FTO,2057,46.682274695699476,14.51327912476511,9.512350529228272,8,16.205445033098783,14.332992229021109,34.42353210881191,14.840014098201264,2.581271511313692
2.0,GB_GBN,Prev-day FTO,2057,43.998134344854186,17.197419475610406,12.224399250190167,55,6.623874491104208,3.9332475723960743,32.4089369406692,14.278341759844434,2.689144355659442
